,city,price,beds,baths,sqft,url,address
0,New Berlin,"$599,900",4 beds,2.5 baths,"3,406 ",https://www.redfin.com/WI/New-Berlin/13180-W-North-Ln-53151/home/90004134,"13180 W North Ln, New Berlin, WI 53151"
1,New Berlin,"$419,900",4 beds,1.5 baths,"1,955 ",https://www.redfin.com/WI/New-Berlin/4425-S-Dora-Ln-53151/home/90005746,"4425 S Dora Ln, New Berlin, WI 53151"
2,New Berlin,"$199,900",2 beds,1.5 baths,914 ,https://www.redfin.com/WI/New-Berlin/1675-S-Coachlight-Dr-53151/unit-B/home/58020241,"1675 S Coachlight Dr Unit B, New Berlin, WI 53151"
3,New Berlin,"$519,900",3 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/New-Berlin/3175-Waterford-Ct-53151/unit-92/home/191022444,"3175 S Waterford Ct #92, New Berlin, WI 53151"
4,New Berlin,"$399,900",3 beds,1.5 baths,"1,846 ",https://www.redfin.com/WI/New-Berlin/5147-S-Menard-Dr-53151/home/90006929,"5147 S Menard Dr, New Berlin, WI 53151"
5,New Berlin,"$739,000",3 beds,3.5 baths,"3,885 ",https://www.redfin.com/WI/New-Berlin/12935-W-Peachtree-Dr-53151/home/90028999,"12935 W Peachtree Dr, New Berlin, WI 53151"
6,New Berlin,"$289,000",2 beds,2.5 baths,"1,260 ",https://www.redfin.com/WI/New-Berlin/16252-W-Coachlight-Dr-53151/home/88333968,"16252 W Coachlight Dr, New Berlin, WI 53151"
7,New Berlin,"$279,900",2 beds,2 baths,"1,296 ",https://www.redfin.com/WI/New-Berlin/15295-W-Library-Ln-53151/unit-201/home/58040675,"15295 W Library Ln #201, New Berlin, WI 53151"
8,New Berlin,"$699,900",3 beds,2.5 baths,"3,005 ",https://www.redfin.com/WI/New-Berlin/13065-W-Wade-Dr-53151/home/58013173,"13065 W Wade Dr, New Berlin, WI 53151"
9,New Berlin,"$569,900",3 beds,2.5 baths,"3,091 ",https://www.redfin.com/WI/New-Berlin/12645-W-Weatherstone-Blvd-53151/home/90006079,"12645 W Weatherstone Blvd, New Berlin, WI 53151"
10,New Berlin,"$899,900",4 beds,4 baths,"3,652 ",https://www.redfin.com/WI/New-Berlin/6170-S-Rosetree-Pass-53151/home/57929133,"6170 S Rosetree Pass, New Berlin, WI 53151"
11,New Berlin,"$900,000",4 beds,3 baths,"2,859 ",https://www.redfin.com/WI/New-Berlin/5569-S-Red-Fox-Rd-53151/home/167926218,"5569 S Red Fox Rd, New Berlin, WI 53151"
12,New Berlin,"$424,900",4 beds,1.5 baths,"2,192 ",https://www.redfin.com/WI/New-Berlin/12740-W-Brentwood-Dr-53151/home/90003827,"12740 W Brentwood Dr, New Berlin, WI 53151"
13,New Berlin,"$429,000",3 beds,2 baths,"1,923 ",https://www.redfin.com/WI/New-Berlin/15030-W-Kingsway-Dr-53151/home/90005835,"15030 W Kingsway Dr, New Berlin, WI 53151"
14,New Berlin,"$525,000",3 beds,3 baths,"2,572 ",https://www.redfin.com/WI/New-Berlin/14359-W-Farrell-Dr-53151/home/103728306,"14359 W Farrell Dr, New Berlin, WI 53151"
15,New Berlin,"$249,900",No Data Available,No Data Available,3.83 ,https://www.redfin.com/WI/New-Berlin/Lt1-W-Mayflower-Dr-53151/home/179933218,"Lt1 W Mayflower Dr, New Berlin, WI 53151"
16,New Berlin,"$195,000",No Data Available,No Data Available,0.78 ,https://www.redfin.com/WI/New-Berlin/3875-S-Moorland-Rd-53151/home/180651505,"3875 S Moorland Rd, New Berlin, WI 51351"
17,New Berlin,"$299,000",No Data Available,No Data Available,0.84 ,https://www.redfin.com/WI/New-Berlin/Lt8-Autumn-Trace-CT-53151/home/189835039,"Lt8 Autumn Trace Ct, New Berlin, WI 53151"
18,New Berlin,"$234,900",No Data Available,No Data Available,0.75 ,https://www.redfin.com/WI/New-Berlin/Lt-2-Autumn-TRCE-53151/home/189721649,"Lt2 Autumn Trce, New Berlin, WI 53151"
19,New Berlin,"$254,900",No Data Available,No Data Available,0.75 ,https://www.redfin.com/WI/New-Berlin/Lt5-Autumn-Trace-CT-53151/home/189691803,"Lt5 Autumn Trace Ct, New Berlin, WI 53151"
20,New Berlin,"$274,900",No Data Available,No Data Available,0.80 ,https://www.redfin.com/WI/New-Berlin/Lt16-Autumn-Trace-CT-53151/unit-16/home/189396278,"Lt16 Autumn Trace Ct Lot 16, New Berlin, WI 53151"
21,New Berlin,"$234,900",No Data Available,No Data Available,0.75 ,https://www.redfin.com/WI/New-Berlin/Lt20-Autumn-TRCE-53151/home/188133020,"Lt20 Autumn Trce, New Berlin, WI 53151"
22,New Berlin,"$115,000",No Data Available,No Data Available,0.23 ,https://www.redfin.com/WI/New-Berlin/1414-S-166th-St-53151/home/188117446,"1414 S 166th St, New Berlin, WI 53151"
23,New Berlin,"$250,000",No Data Available,No Data Available,0.85 ,https://www.redfin.com/WI/New-Berlin/2800-S-Moorland-Rd-53151/home/58080214,"2800 S Moorland Rd, New Berlin, WI 53151"
24,New Berlin,"$275,000",No Data Available,No Data Available,0.85 ,https://www.redfin.com/WI/New-Berlin/2786-S-Moorland-Rd-53151/home/58080228,"2786 S Moorland Rd, New Berlin, WI 53151"
25,Cudahy,"$220,000",2 beds,2 baths,"1,425 ",https://www.redfin.com/WI/Cudahy/6020-S-Buckhorn-Ave-53110/unit-302/home/58033882,"6020 S Buckhorn Ave #302, Cudahy, WI 53110"
26,Cudahy,"$450,000",5 beds,4 baths,"3,100 ",https://www.redfin.com/WI/Cudahy/3643-E-Munkwitz-Ave-53110/home/58060529,"3643 E Munkwitz Ave, Cudahy, WI 53110"
27,Cudahy,"$439,000",No Data Available,No Data Available,"3,500 ",https://www.redfin.com/WI/Cudahy/3863-E-Barnard-Ave-53110/unit-3869/home/172014257,"3863 E Barnard Ave #3869, Cudahy, WI 53110"
28,Cudahy,"$314,900",3 beds,2 baths,"1,694 ",https://www.redfin.com/WI/Cudahy/3466-E-Plankinton-Ave-53110/home/57649998,"3466 E Plankinton Ave, Cudahy, WI 53110"
29,Cudahy,"$169,900",4 beds,2 baths,"1,596 ",https://www.redfin.com/WI/Cudahy/3728-E-Somers-Ave-53110/unit-A/home/90282363,"3728 E Somers Ave Unit 3728A, Cudahy, WI 53110"
30,Cudahy,"$500,000",No Data Available,No Data Available,5.66 ,https://www.redfin.com/WI/Cudahy/6040-S-Buckhorn-Ave-53110/unit-6060/home/183841572,"6040 S Buckhorn Ave #6060, Cudahy, WI 53110"
31,Saint Francis,"$309,900",3 beds,1 bath,"1,040 ",https://www.redfin.com/WI/Saint-Francis/2717-E-Bottsford-Ave-53235/home/58010470,"2717 E Bottsford Ave, Saint Francis, WI 53235"
