,city,price,beds,baths,sqft,url,address,ins_dttm,extract_dttm,delete_dttm,orig_listing_price,list_price_change
0,South Milwaukee,"$239,900",3 beds,1 bath,"1,509 ",https://www.redfin.com/WI/South-Milwaukee/309-Montana-Ave-53172/home/90303707,"309 Montana Ave, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$239,900",
1,South Milwaukee,"$274,900",3 beds,2 baths,"1,791 ",https://www.redfin.com/WI/South-Milwaukee/211-Nicholson-Ave-53172/home/58024472,"211 Nicholson Ave, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$274,900",
2,South Milwaukee,"$375,000",3 beds,1.5 baths,"1,520 ",https://www.redfin.com/WI/South-Milwaukee/1833-Mackinac-Ave-53172/home/79079585,"1833 Mackinac Ave, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$375,000",
3,South Milwaukee,"$320,000",4 beds,2.5 baths,"2,035 ",https://www.redfin.com/WI/South-Milwaukee/721-Oak-St-53172/home/57752586,"721 Oak St, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$320,000",
4,South Milwaukee,"$250,000",4 beds,2 baths,"2,218 ",https://www.redfin.com/WI/South-Milwaukee/2609-5th-Ave-53172/home/90303118,"2609 5th Ave, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$250,000",
5,South Milwaukee,"$319,900",4 beds,2 baths,"2,453 ",https://www.redfin.com/WI/South-Milwaukee/1010-N-Chicago-Ave-53172/home/57748545,"1010 N Chicago Ave, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$319,900",
6,South Milwaukee,"$439,900",3 beds,2.5 baths,"1,864 ",https://www.redfin.com/WI/South-Milwaukee/Lt1-Monroe-Ave-53172/home/189093442,"Lt1 Monroe Ct, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$439,900",
7,South Milwaukee,"$300,000",No Data Available,No Data Available,16.74 ,https://www.redfin.com/WI/South-Milwaukee/1200-13th-Ave-53172/home/190732919,"1200 13th Ave, South Milwaukee, WI 53172",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$300,000",
8,Oak Creek,"$529,900",3 beds,2.5 baths,"2,025 ",https://www.redfin.com/WI/Oak-Creek/3330-E-Stonefield-Dr-53154/home/90297368,"3330 E Stonefield Dr, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$529,900",
9,Cudahy,"$239,900",3 beds,1.5 baths,"1,111 ",https://www.redfin.com/WI/Cudahy/5979-S-Indiana-Ave-53110/home/90283104,"5979 S Indiana Ave, Cudahy, WI 53110",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$239,900",
10,Cudahy,"$205,000",2 beds,1 bath,"1,250 ",https://www.redfin.com/WI/Cudahy/3360-E-College-Ave-53110/unit-2/home/80170608,"3360 E College Ave #2, Cudahy, WI 53110",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$205,000",
11,Oak Creek,"$369,900",3 beds,1.5 baths,"1,553 ",https://www.redfin.com/WI/Oak-Creek/2200-E-Hickory-Dr-53154/home/58001444,"2200 E Hickory Dr, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$369,900",
12,Oak Creek,"$349,900",2 beds,2 baths,"1,102 ",https://www.redfin.com/WI/Oak-Creek/7115-S-Pennsylvania-Ave-53154/home/90320840,"7115 S Pennsylvania Ave, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$349,900",
13,Cudahy,"$227,999",2 beds,2 baths,"1,240 ",https://www.redfin.com/WI/Cudahy/6228-S-Creekside-Dr-53110/unit-9/home/90282798,"6228 S Creekside Dr #9, Cudahy, WI 53110",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$227,999",
14,Cudahy,"$247,500",2 beds,2 baths,"1,440 ",https://www.redfin.com/WI/Cudahy/6010-S-Crosswinds-Dr-53110/unit-5/home/58043273,"6010 S Crosswinds Dr #5, Cudahy, WI 53110",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$247,500",
15,Oak Creek,"$169,900",No Data Available,No Data Available,0.59 ,https://www.redfin.com/WI/Oak-Creek/8535-S-Amanda-Ct-53154/home/58099724,"8535 S Amanda Ct, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$169,900",
16,Oak Creek,"$244,000",2 beds,2 baths,"1,268 ",https://www.redfin.com/WI/Oak-Creek/3651-E-Barbara-Ct-53154/unit-3/home/58033978,"3651 E Barbara Ct #3, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$244,000",
17,Oak Creek,"$215,000",No Data Available,No Data Available,1.54 ,https://www.redfin.com/WI/Oak-Creek/7041-S-Pennsylvania-Ave-53154/home/58085129,"7041 S Pennsylvania Ave, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$215,000",
18,Oak Creek,"$200,000",No Data Available,No Data Available,2.42 ,https://www.redfin.com/WI/Oak-Creek/8465-S-5th-Ave-53154/home/90330459,"8465 S 5th Ave, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$200,000",
19,Cudahy,"$500,000",No Data Available,No Data Available,5.66 ,https://www.redfin.com/WI/Cudahy/6040-S-Buckhorn-Ave-53110/unit-6060/home/183841572,"6040 S Buckhorn Ave #6060, Cudahy, WI 53110",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$500,000",
20,Oak Creek,"$499,500",No Data Available,No Data Available,13.69 ,https://www.redfin.com/WI/Oak-Creek/7300-S-Delaine-Dr-53154/home/190244206,"7300 S Delaine Dr, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$499,500",
21,Oak Creek,"$59,900",1 bed,1 bath,768 ,https://www.redfin.com/WI/Oak-Creek/8481-S-5th-Avenue-Site-53154/unit-A-01/home/190430574,"8481 S 5th Avenue Site Unit A-01, Oak Creek, WI 53154",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$59,900",
22,East Troy,"$439,000",4 beds,2 baths,"1,906 ",https://www.redfin.com/WI/East-Troy/3214-Superior-Ave-53120/home/57918179,"3214 Superior Ave, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$439,000",
23,East Troy,"$450,000",3 beds,2 baths,"2,092 ",https://www.redfin.com/WI/East-Troy/N9168-Ravine-Dr-53120/home/89488561,"N9168 Ravine Dr, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$450,000",
24,East Troy,"$439,900",3 beds,1.5 baths,"1,800 ",https://www.redfin.com/WI/East-Troy/N9531-Sunset-Dr-53120/home/89477828,"N9531 Sunset Dr, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$439,900",
25,East Troy,"$379,900",3 beds,1 bath,"1,135 ",https://www.redfin.com/WI/East-Troy/N9198-Ravine-Dr-53120/home/89488568,"N9198 Ravine Dr, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$379,900",
26,East Troy,"$1,072,000",4 beds,3.5 baths,"3,302 ",https://www.redfin.com/WI/East-Troy/W1069-Spleas-Skoney-Rd-53120/home/57849238,"W1069 Spleas Skoney Rd, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,072,000",
27,East Troy,"$549,900",5 beds,3 baths,"2,800 ",https://www.redfin.com/WI/East-Troy/n8346-Zimmerman-Rd-53120/home/191430112,"N8346 Zimmerman Rd, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$549,900",
28,East Troy,"$599,900",3 beds,1 bath,"1,850 ",https://www.redfin.com/WI/East-Troy/W4072-County-Road-J-53120/home/191067546,"W4072 County Road J, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$599,900",
29,East Troy,"$329,000",3 beds,1.5 baths,"1,413 ",https://www.redfin.com/WI/East-Troy/W498-County-Road-L-53120/home/89487850,"W498 County Road L, East Troy, WI 53120",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$329,000",
