,city,price,beds,baths,sqft,url,address
0,New Berlin,"$349,900",3 beds,1 bath,"1,440 ",https://www.redfin.com/WI/New-Berlin/1700-S-171st-St-53151/home/90002496,"1700 S 171st St, New Berlin, WI 53151"
1,New Berlin,"$625,000",4 beds,3 baths,"3,306 ",https://www.redfin.com/WI/New-Berlin/12685-W-Greenbriar-Ln-53151/home/90027296,"12685 W Greenbriar Ln, New Berlin, WI 53151"
2,New Berlin,"$399,000",3 beds,1 bath,"1,476 ",https://www.redfin.com/WI/New-Berlin/16200-W-National-Ave-53151/home/182506806,"16200 W National Ave, New Berlin, WI 53151"
3,New Berlin,"$374,900",3 beds,2 baths,"1,539 ",https://www.redfin.com/WI/New-Berlin/14511-W-Dianne-Dr-53151/home/90038423,"14511 W Dianne Dr, New Berlin, WI 53151"
4,New Berlin,"$799,900",4 beds,2.5 baths,"3,206 ",https://www.redfin.com/WI/New-Berlin/13075-W-Longleaf-Dr-53151/home/90031331,"13075 W Longleaf Dr, New Berlin, WI 53151"
5,New Berlin,"$419,000",4 beds,1.5 baths,"2,192 ",https://www.redfin.com/WI/New-Berlin/12740-W-Brentwood-Dr-53151/home/90003827,"12740 W Brentwood Dr, New Berlin, WI 53151"
6,New Berlin,"$399,900",3 beds,2 baths,"1,923 ",https://www.redfin.com/WI/New-Berlin/15030-W-Kingsway-Dr-53151/home/90005835,"15030 W Kingsway Dr, New Berlin, WI 53151"
7,New Berlin,"$525,000",3 beds,3 baths,"2,572 ",https://www.redfin.com/WI/New-Berlin/14359-W-Farrell-Dr-53151/home/103728306,"14359 W Farrell Dr, New Berlin, WI 53151"
8,New Berlin,"$249,900",No Data Available,No Data Available,0.32 ,https://www.redfin.com/WI/New-Berlin/12860-W-National-Ave-53151/home/191413737,"12860 W National Ave, New Berlin, WI 53151"
9,New Berlin,"$195,000",No Data Available,No Data Available,0.78 ,https://www.redfin.com/WI/New-Berlin/3875-S-Moorland-Rd-53151/home/180651505,"3875 S Moorland Rd, New Berlin, WI 51351"
10,New Berlin,"$299,000",No Data Available,No Data Available,0.84 ,https://www.redfin.com/WI/New-Berlin/Lt8-Autumn-Trace-CT-53151/home/189835039,"Lt8 Autumn Trace Ct, New Berlin, WI 53151"
11,New Berlin,"$234,900",No Data Available,No Data Available,0.75 ,https://www.redfin.com/WI/New-Berlin/Lt-2-Autumn-TRCE-53151/home/189721649,"Lt2 Autumn Trce, New Berlin, WI 53151"
12,New Berlin,"$254,900",No Data Available,No Data Available,0.75 ,https://www.redfin.com/WI/New-Berlin/Lt5-Autumn-Trace-CT-53151/home/189691803,"Lt5 Autumn Trace Ct, New Berlin, WI 53151"
13,New Berlin,"$274,900",No Data Available,No Data Available,0.80 ,https://www.redfin.com/WI/New-Berlin/Lt16-Autumn-Trace-CT-53151/unit-16/home/189396278,"Lt16 Autumn Trace Ct Lot 16, New Berlin, WI 53151"
14,New Berlin,"$234,900",No Data Available,No Data Available,0.75 ,https://www.redfin.com/WI/New-Berlin/Lt20-Autumn-TRCE-53151/home/188133020,"Lt20 Autumn Trce, New Berlin, WI 53151"
15,New Berlin,"$115,000",No Data Available,No Data Available,0.23 ,https://www.redfin.com/WI/New-Berlin/1414-S-166th-St-53151/home/188117446,"1414 S 166th St, New Berlin, WI 53151"
16,New Berlin,"$250,000",No Data Available,No Data Available,0.85 ,https://www.redfin.com/WI/New-Berlin/2800-S-Moorland-Rd-53151/home/58080214,"2800 S Moorland Rd, New Berlin, WI 53151"
17,New Berlin,"$275,000",No Data Available,No Data Available,0.85 ,https://www.redfin.com/WI/New-Berlin/2786-S-Moorland-Rd-53151/home/58080228,"2786 S Moorland Rd, New Berlin, WI 53151"
18,Muskego,"$420,000",2 beds,2 baths,"1,438 ",https://www.redfin.com/WI/Muskego/S70W15265-Honeysuckle-Cir-53150/home/103725605,"S70W15265 Honeysuckle Cir, Muskego, WI 53150"
19,Milwaukee,"$355,000",4 beds,2 baths,"1,558 ",https://www.redfin.com/WI/Milwaukee/1304-S-116th-St-53214/home/80160770,"1304 S 116th St, West Allis, WI 53214"
20,Milwaukee,"$449,900",5 beds,2.5 baths,"2,786 ",https://www.redfin.com/WI/Milwaukee/12209-W-Holt-Ave-53227/home/90314310,"12209 W Holt Ave, West Allis, WI 53227"
21,Brookfield,"$329,900",3 beds,2 baths,"1,394 ",https://www.redfin.com/WI/Brookfield/1185-Georges-Ave-53045/home/89977394,"1185 Georges Ave, Brookfield, WI 53045"
22,Milwaukee,"$499,900",4 beds,2.5 baths,"3,881 ",https://www.redfin.com/WI/Milwaukee/12304-W-Holt-Ave-53227/home/90278113,"12304 W Holt Ave, West Allis, WI 53227"
23,Hales Corners,"$479,000",3 beds,2.5 baths,"2,433 ",https://www.redfin.com/WI/Hales-Corners/5130-S-Meadowlark-Ln-53130/home/90264439,"5130 S Meadowlark Ln, Hales Corners, WI 53130"
24,Muskego,"$1,299,000",4 beds,4.5 baths,"4,123 ",https://www.redfin.com/WI/Muskego/S70W18778-Gold-Dr-53150/home/103741039,"S70W18778 Gold Dr, Muskego, WI 53150"
25,Brookfield,"$250,000",3 beds,1.5 baths,"1,364 ",https://www.redfin.com/WI/Brookfield/490-Green-Meadow-Dr-53045/unit-480/home/191094270,"490 Green Meadow Dr #480, Brookfield, WI 53045"
26,Brookfield,"$250,000",3 beds,1.5 baths,"1,364 ",https://www.redfin.com/WI/Brookfield/480-Green-Meadow-Dr-53045/unit-480-490/home/191076000,"480 Green Meadow Dr Unit 480, 490, Brookfield, WI 53045"
